委託時間,	股票名稱,	交易類別,	委託條件,	價格,	成交均價,	原委託,	成交股數,	未成交,	取消股數,	委託書號,	狀態
2021/03/12 09:16:15.648,亞信(3169),現股買進,ROD,136.50,136,1000,1000,0,--,63398,完全成交
2021/03/10 09:03:45.055,義隆(2458),現股買進,ROD,189.50,173,1000,1000,0,--,62056,完全成交
2021/03/10 09:02:35.356,世界(5347),現股買進,ROD,112.50,103,1000,1000,0,--,61777,完全成交
2021/03/09 08:59:25.993,義隆(2458),現股買進,ROD,168.00,--,1000,--,1000,--,61447,委託成功
2021/03/08 12:47:22.144,鼎元(2426),現股買進,ROD,24.80,23.55,1000,1000,0,--,68114,完全成交
2021/03/08 10:38:32.480,友達(2409),現股買進,ROD,20.35,18.7,1000,1000,0,--,65712,完全成交
2021/03/08 10:36:57.342,義隆(2458),現股買進,ROD,189.50,174,1000,1000,0,--,65669,完全成交
2021/03/05 09:56:07.357,世界(5347),現股買進,ROD,119.00,106,1000,1000,0,--,65690,完全成交
2021/03/05 09:07:00.794,聲寶(1604),現股賣出,ROD,31.00,27.9,2000,2000,0,--,62551,完全成交
2021/03/05 09:04:14.542,聯電(2303),現股買進,ROD,53.90,46.5,2000,2000,0,--,62114,完全成交
2021/03/04 13:09:35.687,鼎元(2426),現股買進,ROD,24.85,23.1,1000,1000,0,--,69680,完全成交
2021/03/04 13:08:32.462,義隆(2458),現股買進,ROD,191.00,175.5,1000,1000,0,--,69643,完全成交
2021/03/04 12:43:27.634,元大台灣50(0050),現股買進,ROD,148.90,132.95,1000,1000,0,--,69059,完全成交
2021/03/04 12:16:02.934,元大台灣50(0050),現股買進,ROD,148.90,131.75,1000,1000,0,--,68324,完全成交
2021/03/04 09:10:02.965,世界(5347),現股買進,ROD,123.50,111.5,1000,1000,0,--,62408,完全成交
2021/03/04 09:01:08.021,聲寶(1604),現股買進,ROD,30.40,27.85,2000,2000,0,--,61393,完全成交
2021/03/03 12:51:00.634,群創(3481),現股買進,ROD,18.35,16.75,1000,1000,0,--,68508,完全成交
2021/03/03 12:50:14.276,義隆(2458),現股買進,ROD,189.00,173.5,1000,1000,0,--,68491,完全成交
2021/03/03 11:50:33.312,聯電(2303),現股買進,ROD,57.90,51.7,2000,2000,0,--,67508,完全成交
2021/03/03 09:55:53.280,友達(2409),現股買進,ROD,20.60,19.1,1000,1000,0,--,65029,完全成交
2021/03/03 08:40:00.409,世界(5347),現股買進,ROD,112.50,112.5,1000,1000,0,--,60904,完全成交
2021/03/02 08:53:18.064,元大台灣50(0050),現股買進,ROD,135.65,135.65,1000,1000,0,--,61275,完全成交
2021/02/19 09:02:19.798,大學光(3218),現股買進,ROD,267.00,249.5,1000,1000,0,--,61542,完全成交
2021/02/19 09:01:56.708,義隆(2458),現股賣出,ROD,187.50,168,1000,1000,0,--,61505,完全成交
2021/02/19 09:00:42.526,聯電(2303),現股買進,ROD,64.00,57.8,1000,1000,0,--,61376,完全成交
2021/02/04 13:11:18.391,世界(5347),現股買進,ROD,139.50,127,1000,1000,0,--,67390,完全成交
