委託時間,	股票名稱,	交易類別,	委託條件,	價格,	成交均價,	原委託,	成交股數,	未成交,	取消股數,	委託書號,	狀態
2021/02/04 13:08:30.441,遠傳(4904),現股賣出,ROD,65.80,60,2000,2000,0,--,67322,完全成交
2021/02/04 11:53:36.484,遠雄(5522),現股買進,ROD,55.60,50.4,1000,1000,0,--,66108,完全成交
2021/02/04 11:47:14.964,華通(2313),現股賣出,ROD,46.10,42.25,2000,2000,0,--,66029,完全成交
2021/02/03 09:07:25.599,世界(5347),現股買進,ROD,129.50,124,1000,1000,0,--,62072,完全成交
2021/02/01 09:32:56.852,義隆(2458),現股買進,ROD,159.50,159.5,1000,1000,0,--,63348,完全成交
2021/02/01 09:08:05.175,元大台灣50(0050),現股賣出,ROD,141.00,128.1,1000,1000,0,--,62031,完全成交
2021/02/01 09:07:27.432,元晶(6443),現股賣出,ROD,33.55,29.35,4000,4000,0,--,61972,完全成交
2021/01/27 10:09:44.100,元晶(6443),現股買進,ROD,36.90,33.25,1000,1000,0,--,64586,完全成交
2021/01/26 11:54:24.586,富采(3714),現股買進,ROD,84.40,84.4,1000,1000,0,--,67357,完全成交
2021/01/25 09:25:20.076,富采(3714),現股買進,ROD,97.10,86.9,1000,1000,0,--,63587,完全成交
2021/01/25 09:04:01.568,富采(3714),現股買進,ROD,97.10,87.7,1000,1000,0,--,61849,完全成交
2021/01/25 09:03:35.708,元晶(6443),現股買進,ROD,37.70,33.4,1000,1000,0,--,61745,完全成交
2021/01/22 11:58:17.389,元晶(6443),現股買進,ROD,33.75,--,1000,--,1000,--,68404,委託成功
2021/01/22 11:57:36.659,元晶(6443),現股買進,ROD,36.45,33.95,1000,1000,0,--,68384,完全成交
2021/01/22 08:53:27.420,元晶(6443),現股買進,ROD,34.30,34.3,1000,1000,0,--,61127,完全成交
2021/01/20 13:15:22.539,台半(5425),現股買進,ROD,60.90,52.3,1000,1000,0,--,A1721,完全成交
2021/01/20 13:13:08.789,遠傳(4904),現股買進,ROD,60.60,60.6,1000,1000,0,--,A1627,完全成交
2021/01/20 10:15:53.532,台半(5425),現股買進,ROD,60.90,53.8,1000,1000,0,--,66784,完全成交
2021/01/20 09:41:25.545,義隆(2458),現股賣出,ROD,188.00,170,1000,1000,0,--,65271,完全成交
2021/01/18 10:08:15.968,台半(5425),現股買進,ROD,62.90,55.8,1000,1000,0,--,65900,完全成交
2021/01/15 13:17:54.639,義隆(2458),現股買進,ROD,187.50,164,1000,1000,0,--,A1800,完全成交
2021/01/15 09:05:45.217,義隆(2458),現股買進,ROD,168.00,168,1000,1000,0,--,62541,完全成交
2021/01/13 13:23:14.537,台半(5425),現股買進,ROD,62.40,57.3,1000,1000,0,--,69859,完全成交
2021/01/13 13:16:10.295,遠雄(5522),現股買進,ROD,62.30,56.1,1000,1000,0,--,69654,完全成交
2021/01/13 10:04:46.054,遠傳(4904),現股買進,ROD,68.20,62.4,1000,1000,0,--,65103,完全成交
2021/01/12 12:04:40.035,富采(3714),現股買進,ROD,91.00,78.3,1000,1000,0,--,68884,完全成交
2021/01/12 09:05:02.551,台半(5425),現股買進,ROD,63.80,57.7,1000,1000,0,--,61968,完全成交
2021/01/12 09:03:15.222,金像電(2368),現股買進,ROD,56.40,51,1000,1000,0,--,61761,完全成交
